first_name,last_name,email,birthdate,phone_number
John,Doe,john.doe@example.com,1990-05-15,+1234567890
Bob,Johnson,bob.johnson@example.com,2005-03-10,+1555123456
Jane,Smith,jane.smith@example.com,1985-08-22,9876543210
Diana,Davis,diana.davis@example.com,1995-01-25,invalid-phone
Alice,Brown,alice.brown@example.com,1992-11-30,5551234567
Eve,Miller,eve.miller@example.com,2010-12-05,+1234567890
Frank,Garcia,frank.garcia@example.com,1987-09-18,5559876543
Charlie,Wilson,charlie.wilson@example.com,1988-07-14,+12345678901
Grace,Lee,grace.lee@example.com,1993-04-12,+1234567890
Fiona,Clark,fiona.clark@example.com,1994-02-18,555-123-4567 
